,period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription,total-consumption-btu,total-consumption-btu-units
0,2022-11,US,U.S. Total,99,All Sectors,COL,"coal, excluding waste coal",610.96244,million MMBtu
1,2022-11,US,U.S. Total,99,All Sectors,WWW,wood and wood wastes,90.52876,million MMBtu
2,2022-11,US,U.S. Total,99,All Sectors,WOO,waste oil and other oils,0.83429,million MMBtu
3,2022-11,US,U.S. Total,99,All Sectors,WOC,waste coal,6.60665,million MMBtu
4,2022-11,US,U.S. Total,99,All Sectors,WNT,onshore wind turbine,371.01852,million MMBtu
5,2022-11,US,U.S. Total,99,All Sectors,WNS,offshore wind turbine,0.13463,million MMBtu
6,2022-11,US,U.S. Total,99,All Sectors,WND,wind,371.15315,million MMBtu
7,2022-11,US,U.S. Total,99,All Sectors,WAS,renewable waste products,24.27666,million MMBtu
8,2022-11,US,U.S. Total,99,All Sectors,TSN,estimated total solar,,million MMBtu
9,2022-11,US,U.S. Total,99,All Sectors,TPV,estimated total solar photovoltaic,,million MMBtu
10,2022-11,US,U.S. Total,99,All Sectors,SUN,solar,74.81375,million MMBtu
11,2022-11,US,U.S. Total,99,All Sectors,SUB,subbituminous coal,322.13463,million MMBtu
12,2022-11,US,U.S. Total,99,All Sectors,STH,solar thermal,1.31769,million MMBtu
13,2022-11,US,U.S. Total,99,All Sectors,SPV,solar photovoltaic,73.49606,million MMBtu
14,2022-11,US,U.S. Total,99,All Sectors,RFO,residual fuel oil,5.34588,million MMBtu
15,2022-11,US,U.S. Total,99,All Sectors,BIT,bituminous coal,226.77004,million MMBtu
16,2022-11,US,U.S. Total,99,All Sectors,BIS,bituminous coal and synthetic coal,226.77004,million MMBtu
17,2022-11,US,U.S. Total,99,All Sectors,BIO,biomass,114.80543,million MMBtu
18,2022-11,US,U.S. Total,99,All Sectors,AOR,all renewables,573.76181,million MMBtu
19,2022-11,US,U.S. Total,99,All Sectors,ANT,anthracite coal,0.0,million MMBtu
20,2022-11,US,U.S. Total,99,All Sectors,ALL,all fuels,3123.94126,million MMBtu
21,2022-11,US,U.S. Total,99,All Sectors,REN,renewable,739.7708,million MMBtu
22,2022-11,US,U.S. Total,99,All Sectors,RC,refined coal,27.8953,million MMBtu
23,2022-11,US,U.S. Total,99,All Sectors,PET,petroleum,19.87803,million MMBtu
24,2022-11,US,U.S. Total,99,All Sectors,PEL,petroleum liquids,10.99199,million MMBtu
25,2022-11,US,U.S. Total,99,All Sectors,PC,petroleum coke,8.88604,million MMBtu
26,2022-11,US,U.S. Total,99,All Sectors,OTH,other,16.19111,million MMBtu
27,2022-11,US,U.S. Total,99,All Sectors,ORW,other renewables,5.99421,million MMBtu
28,2022-11,US,U.S. Total,99,All Sectors,OOG,other gases,21.16214,million MMBtu
29,2022-11,US,U.S. Total,99,All Sectors,OBW,biomass,15.89192,million MMBtu
30,2022-11,US,U.S. Total,99,All Sectors,OB2,biomass,5.99421,million MMBtu
31,2022-11,US,U.S. Total,99,All Sectors,NUC,nuclear,647.13466,million MMBtu
32,2022-11,US,U.S. Total,99,All Sectors,NGO,natural gas & other gases,1083.39757,million MMBtu
33,2022-11,US,U.S. Total,99,All Sectors,NG,natural gas,1062.23543,million MMBtu
34,2022-11,US,U.S. Total,99,All Sectors,MSB,biogenic municipal solid waste,9.89771,million MMBtu
35,2022-11,US,U.S. Total,99,All Sectors,MLG,municiapl landfill gas,18.28245,million MMBtu
36,2022-11,US,U.S. Total,99,All Sectors,LIG,lignite coal,34.16247,million MMBtu
37,2022-11,US,U.S. Total,99,All Sectors,LFG,landfill gas,8.38475,million MMBtu
38,2022-11,US,U.S. Total,99,All Sectors,HYC,conventional hydroelectric,166.009,million MMBtu
39,2022-11,US,U.S. Total,99,All Sectors,HPS,hydro-electric pumped storage,0.0,million MMBtu
40,2022-11,US,U.S. Total,99,All Sectors,GEO,geothermal,12.98948,million MMBtu
41,2022-11,US,U.S. Total,99,All Sectors,FOS,fossil fuels,1720.84469,million MMBtu
42,2022-11,US,U.S. Total,99,All Sectors,DPV,estimated small scale solar photovoltaic,,million MMBtu
43,2022-11,US,U.S. Total,99,All Sectors,DFO,distillate fuel oil,4.81182,million MMBtu
44,2022-11,US,U.S. Total,99,All Sectors,COW,all coal products,617.56909,million MMBtu
45,2022-10,US,U.S. Total,99,All Sectors,ALL,all fuels,3019.03094,million MMBtu
46,2022-10,US,U.S. Total,99,All Sectors,WNT,onshore wind turbine,290.15644,million MMBtu
47,2022-10,US,U.S. Total,99,All Sectors,WNS,offshore wind turbine,0.11423,million MMBtu
48,2022-10,US,U.S. Total,99,All Sectors,WND,wind,290.27066,million MMBtu
49,2022-10,US,U.S. Total,99,All Sectors,WAS,renewable waste products,23.78522,million MMBtu
50,2022-10,US,U.S. Total,99,All Sectors,TSN,estimated total solar,,million MMBtu
51,2022-10,US,U.S. Total,99,All Sectors,TPV,estimated total solar photovoltaic,,million MMBtu
52,2022-10,US,U.S. Total,99,All Sectors,SUN,solar,107.76599,million MMBtu
53,2022-10,US,U.S. Total,99,All Sectors,SUB,subbituminous coal,343.80082,million MMBtu
54,2022-10,US,U.S. Total,99,All Sectors,STH,solar thermal,2.56103,million MMBtu
55,2022-10,US,U.S. Total,99,All Sectors,SPV,solar photovoltaic,105.20496,million MMBtu
56,2022-10,US,U.S. Total,99,All Sectors,RFO,residual fuel oil,6.08926,million MMBtu
57,2022-10,US,U.S. Total,99,All Sectors,REN,renewable,649.13396,million MMBtu
58,2022-10,US,U.S. Total,99,All Sectors,RC,refined coal,26.49625,million MMBtu
59,2022-10,US,U.S. Total,99,All Sectors,PET,petroleum,19.96771,million MMBtu
60,2022-10,US,U.S. Total,99,All Sectors,PEL,petroleum liquids,11.78857,million MMBtu
61,2022-10,US,U.S. Total,99,All Sectors,PC,petroleum coke,8.17914,million MMBtu
62,2022-10,US,U.S. Total,99,All Sectors,OTH,other,15.85606,million MMBtu
63,2022-10,US,U.S. Total,99,All Sectors,ORW,other renewables,5.29441,million MMBtu
64,2022-10,US,U.S. Total,99,All Sectors,OOG,other gases,21.73058,million MMBtu
65,2022-10,US,U.S. Total,99,All Sectors,OBW,biomass,15.03354,million MMBtu
66,2022-10,US,U.S. Total,99,All Sectors,OB2,biomass,5.29441,million MMBtu
67,2022-10,US,U.S. Total,99,All Sectors,NUC,nuclear,614.81056,million MMBtu
68,2022-10,US,U.S. Total,99,All Sectors,NGO,natural gas & other gases,1126.11622,million MMBtu
69,2022-10,US,U.S. Total,99,All Sectors,NG,natural gas,1104.38564,million MMBtu
70,2022-10,US,U.S. Total,99,All Sectors,MSB,biogenic municipal solid waste,9.73914,million MMBtu
71,2022-10,US,U.S. Total,99,All Sectors,WWW,wood and wood wastes,85.95558,million MMBtu
72,2022-10,US,U.S. Total,99,All Sectors,WOO,waste oil and other oils,0.98282,million MMBtu
73,2022-10,US,U.S. Total,99,All Sectors,WOC,waste coal,6.31675,million MMBtu
74,2022-10,US,U.S. Total,99,All Sectors,MLG,municiapl landfill gas,18.49082,million MMBtu
75,2022-10,US,U.S. Total,99,All Sectors,LIG,lignite coal,34.64102,million MMBtu
76,2022-10,US,U.S. Total,99,All Sectors,LFG,landfill gas,8.75168,million MMBtu
77,2022-10,US,U.S. Total,99,All Sectors,HYC,conventional hydroelectric,129.46907,million MMBtu
78,2022-10,US,U.S. Total,99,All Sectors,HPS,hydro-electric pumped storage,0.0,million MMBtu
79,2022-10,US,U.S. Total,99,All Sectors,GEO,geothermal,11.88743,million MMBtu
80,2022-10,US,U.S. Total,99,All Sectors,FOS,fossil fuels,1739.23037,million MMBtu
81,2022-10,US,U.S. Total,99,All Sectors,DPV,estimated small scale solar photovoltaic,,million MMBtu
82,2022-10,US,U.S. Total,99,All Sectors,DFO,distillate fuel oil,4.7165,million MMBtu
83,2022-10,US,U.S. Total,99,All Sectors,COW,all coal products,593.14644,million MMBtu
84,2022-10,US,U.S. Total,99,All Sectors,COL,"coal, excluding waste coal",586.82969,million MMBtu
85,2022-10,US,U.S. Total,99,All Sectors,BIT,bituminous coal,181.8916,million MMBtu
86,2022-10,US,U.S. Total,99,All Sectors,BIS,bituminous coal and synthetic coal,181.8916,million MMBtu
87,2022-10,US,U.S. Total,99,All Sectors,BIO,biomass,109.7408,million MMBtu
88,2022-10,US,U.S. Total,99,All Sectors,AOR,all renewables,519.66489,million MMBtu
89,2022-10,US,U.S. Total,99,All Sectors,ANT,anthracite coal,0.0,million MMBtu
90,2022-09,US,U.S. Total,99,All Sectors,TSN,estimated total solar,,million MMBtu
91,2022-09,US,U.S. Total,99,All Sectors,MSB,biogenic municipal solid waste,9.67505,million MMBtu
92,2022-09,US,U.S. Total,99,All Sectors,MLG,municiapl landfill gas,18.05346,million MMBtu
93,2022-09,US,U.S. Total,99,All Sectors,LIG,lignite coal,36.4121,million MMBtu
94,2022-09,US,U.S. Total,99,All Sectors,LFG,landfill gas,8.37842,million MMBtu
95,2022-09,US,U.S. Total,99,All Sectors,HYC,conventional hydroelectric,148.80831,million MMBtu
96,2022-09,US,U.S. Total,99,All Sectors,HPS,hydro-electric pumped storage,0.0,million MMBtu
97,2022-09,US,U.S. Total,99,All Sectors,GEO,geothermal,12.48706,million MMBtu
98,2022-09,US,U.S. Total,99,All Sectors,FOS,fossil fuels,2035.16817,million MMBtu
99,2022-09,US,U.S. Total,99,All Sectors,DPV,estimated small scale solar photovoltaic,,million MMBtu
100,2022-09,US,U.S. Total,99,All Sectors,DFO,distillate fuel oil,4.65368,million MMBtu
101,2022-09,US,U.S. Total,99,All Sectors,COW,all coal products,710.48218,million MMBtu
102,2022-09,US,U.S. Total,99,All Sectors,COL,"coal, excluding waste coal",704.13411,million MMBtu
103,2022-09,US,U.S. Total,99,All Sectors,BIT,bituminous coal,247.98141,million MMBtu
104,2022-09,US,U.S. Total,99,All Sectors,BIS,bituminous coal and synthetic coal,247.98141,million MMBtu
105,2022-09,US,U.S. Total,99,All Sectors,BIO,biomass,108.60702,million MMBtu
106,2022-09,US,U.S. Total,99,All Sectors,AOR,all renewables,478.6096,million MMBtu
107,2022-09,US,U.S. Total,99,All Sectors,ANT,anthracite coal,0.0,million MMBtu
108,2022-09,US,U.S. Total,99,All Sectors,ALL,all fuels,3343.07738,million MMBtu
109,2022-09,US,U.S. Total,99,All Sectors,TPV,estimated total solar photovoltaic,,million MMBtu
110,2022-09,US,U.S. Total,99,All Sectors,SUN,solar,118.53957,million MMBtu
111,2022-09,US,U.S. Total,99,All Sectors,SUB,subbituminous coal,390.4688,million MMBtu
112,2022-09,US,U.S. Total,99,All Sectors,STH,solar thermal,2.52233,million MMBtu
113,2022-09,US,U.S. Total,99,All Sectors,SPV,solar photovoltaic,116.01724,million MMBtu
114,2022-09,US,U.S. Total,99,All Sectors,RFO,residual fuel oil,5.91566,million MMBtu
115,2022-09,US,U.S. Total,99,All Sectors,REN,renewable,627.41791,million MMBtu
116,2022-09,US,U.S. Total,99,All Sectors,RC,refined coal,29.2718,million MMBtu
