,period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription,total-consumption-btu,total-consumption-btu-units
0,2022-11,US,U.S. Total/,96,All Commercial,ALL,all fuels,17.30775,million MMBtu
1,2022-11,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1219.66004,million MMBtu
2,2022-11,US,U.S. Total,3,IPP CHP,ALL,all fuels,103.86586,million MMBtu
3,2022-11,US,U.S. Total,7,Industrial CHP,ALL,all fuels,234.30065,million MMBtu
4,2022-11,US,U.S. Total,98,Electric Power,ALL,all fuels,2867.31368,million MMBtu
5,2022-11,US,U.S. Total,5,Commercial CHP,ALL,all fuels,11.93718,million MMBtu
6,2022-11,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2763.44782,million MMBtu
7,2022-11,US,U.S. Total,1,Electric Utility,ALL,all fuels,1543.78778,million MMBtu
8,2022-11,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,5.37057,million MMBtu
9,2022-11,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1323.5259,million MMBtu
10,2022-11,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.01918,million MMBtu
11,2022-11,US,U.S. Total,97,All Industrial,ALL,all fuels,239.31983,million MMBtu
12,2022-11,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.4812,million MMBtu
13,2022-11,US,U.S. Total,99,All Sectors,ALL,all fuels,3123.94126,million MMBtu
14,2022-10,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,5.05185,million MMBtu
15,2022-10,US,U.S. Total,98,Electric Power,ALL,all fuels,2771.71582,million MMBtu
16,2022-10,US,U.S. Total,97,All Industrial,ALL,all fuels,230.94181,million MMBtu
17,2022-10,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1178.32696,million MMBtu
18,2022-10,US,U.S. Total,96,All Commercial,ALL,all fuels,16.37332,million MMBtu
19,2022-10,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.46171,million MMBtu
20,2022-10,US,U.S. Total,99,All Sectors,ALL,all fuels,3019.03094,million MMBtu
21,2022-10,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2668.05574,million MMBtu
22,2022-10,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.19986,million MMBtu
23,2022-10,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1281.98704,million MMBtu
24,2022-10,US,U.S. Total,1,Electric Utility,ALL,all fuels,1489.72878,million MMBtu
25,2022-10,US,U.S. Total,7,Industrial CHP,ALL,all fuels,225.74195,million MMBtu
26,2022-10,US,U.S. Total,3,IPP CHP,ALL,all fuels,103.66009,million MMBtu
27,2022-10,US,U.S. Total,5,Commercial CHP,ALL,all fuels,11.32147,million MMBtu
28,2022-09,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1267.28525,million MMBtu
29,2022-09,US,U.S. Total,99,All Sectors,ALL,all fuels,3343.07738,million MMBtu
30,2022-09,US,U.S. Total,5,Commercial CHP,ALL,all fuels,12.0716,million MMBtu
31,2022-09,US,U.S. Total,96,All Commercial,ALL,all fuels,17.07023,million MMBtu
32,2022-09,US,U.S. Total,97,All Industrial,ALL,all fuels,224.0278,million MMBtu
33,2022-09,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1377.77493,million MMBtu
34,2022-09,US,U.S. Total,98,Electric Power,ALL,all fuels,3101.97934,million MMBtu
35,2022-09,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2991.48966,million MMBtu
36,2022-09,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.60636,million MMBtu
37,2022-09,US,U.S. Total,7,Industrial CHP,ALL,all fuels,218.42144,million MMBtu
38,2022-09,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.25624,million MMBtu
39,2022-09,US,U.S. Total,1,Electric Utility,ALL,all fuels,1724.20441,million MMBtu
40,2022-09,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,4.99863,million MMBtu
41,2022-09,US,U.S. Total,3,IPP CHP,ALL,all fuels,110.48968,million MMBtu
42,2022-08,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,3533.36593,million MMBtu
43,2022-08,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1564.1597,million MMBtu
44,2022-08,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,5.21142,million MMBtu
45,2022-08,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.94788,million MMBtu
46,2022-08,US,U.S. Total,5,Commercial CHP,ALL,all fuels,13.65512,million MMBtu
47,2022-08,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1440.34758,million MMBtu
48,2022-08,US,U.S. Total,96,All Commercial,ALL,all fuels,18.86654,million MMBtu
49,2022-08,US,U.S. Total,1,Electric Utility,ALL,all fuels,2093.01834,million MMBtu
50,2022-08,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.27344,million MMBtu
51,2022-08,US,U.S. Total,98,Electric Power,ALL,all fuels,3657.17805,million MMBtu
52,2022-08,US,U.S. Total,7,Industrial CHP,ALL,all fuels,239.43215,million MMBtu
53,2022-08,US,U.S. Total,97,All Industrial,ALL,all fuels,245.38003,million MMBtu
54,2022-08,US,U.S. Total,99,All Sectors,ALL,all fuels,3921.42461,million MMBtu
55,2022-08,US,U.S. Total,3,IPP CHP,ALL,all fuels,123.81212,million MMBtu
56,2022-07,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,5.279,million MMBtu
57,2022-07,US,U.S. Total,7,Industrial CHP,ALL,all fuels,237.95438,million MMBtu
