ds,y
2022-11,17.30775
2022-11,1219.66004
2022-11,103.86586
2022-11,234.30065
2022-11,2867.31368
2022-11,11.93718
2022-11,2763.44782
2022-11,1543.78778
2022-11,5.37057
2022-11,1323.5259
2022-11,5.01918
2022-11,239.31983
2022-11,6.4812
2022-11,3123.94126
2022-10,5.05185
2022-10,2771.71582
2022-10,230.94181
2022-10,1178.32696
2022-10,16.37332
2022-10,6.46171
2022-10,3019.03094
2022-10,2668.05574
2022-10,5.19986
2022-10,1281.98704
2022-10,1489.72878
2022-10,225.74195
2022-10,103.66009
2022-10,11.32147
2022-09,1267.28525
2022-09,3343.07738
2022-09,12.0716
2022-09,17.07023
2022-09,224.0278
2022-09,1377.77493
2022-09,3101.97934
2022-09,2991.48966
2022-09,5.60636
2022-09,218.42144
2022-09,6.25624
2022-09,1724.20441
2022-09,4.99863
2022-09,110.48968
2022-08,3533.36593
2022-08,1564.1597
2022-08,5.21142
2022-08,5.94788
2022-08,13.65512
2022-08,1440.34758
2022-08,18.86654
2022-08,2093.01834
2022-08,6.27344
2022-08,3657.17805
2022-08,239.43215
2022-08,245.38003
2022-08,3921.42461
2022-08,123.81212
2022-07,5.279
2022-07,237.95438
2022-07,2177.43133
2022-07,4043.0346
2022-07,6.00998
2022-07,3780.33983
2022-07,1602.9085
2022-07,243.96436
2022-07,123.75995
2022-07,1479.14855
2022-07,3656.57988
2022-07,13.45142
2022-07,6.77012
2022-07,18.73042
2022-06,1940.63237
2022-06,233.77889
2022-06,3290.51026
2022-06,1458.97192
2022-06,3399.60429
2022-06,12.22536
2022-06,17.52252
2022-06,3650.9057
2022-06,228.05562
2022-06,6.60824
2022-06,5.72327
2022-06,1349.87789
2022-06,5.29716
2022-06,109.09402
2022-05,11.76311
2022-05,1392.6786
2022-05,2953.24169
2022-05,3312.89278
2022-05,233.48546
2022-05,16.89331
2022-05,3056.90811
2022-05,6.43456
2022-05,239.09136
2022-05,1664.22951
2022-05,5.6059
2022-05,5.13019
2022-05,103.66642
2022-05,1289.01218
2022-04,2600.41762
2022-04,5.23373
2022-04,1194.0805
2022-04,96.52936
2022-04,1406.33712
2022-04,230.66997
2022-04,225.35396
2022-04,2696.94698
2022-04,2944.45489
2022-04,16.83794
2022-04,6.37122
2022-04,1290.60986
2022-04,11.6042
2022-04,5.31602
2022-03,2895.88249
2022-03,239.04565
2022-03,105.76731
2022-03,1242.07581
2022-03,13.04722
2022-03,2790.11518
2022-03,3158.90091
2022-03,244.7267
2022-03,5.68104
2022-03,1548.03938
2022-03,18.29172
2022-03,6.87499
2022-03,1347.84312
2022-03,5.2445
2022-02,1210.30343
2022-02,1318.32543
2022-02,4.64657
2022-02,5.18859
2022-02,13.04702
2022-02,3185.15133
2022-02,2936.04742
2022-02,2828.02541
2022-02,231.41032
2022-02,6.09956
2022-02,1617.72198
